1457066156, 68:C6:3A:89:FC:52, 34.97, 25.63, 1530550296, 16:51:36
1423511724, 2C:3A:E8:42:B7:70, 33.17, 29.13, 1530550304, 16:51:44
1473843372, 68:C6:3A:89:FA:41, 28.05, 34.93, 1530550321, 16:52:01
1440288940, 2C:3A:E8:42:8E:53, 40.29, 5.67, 1530550352, 16:52:32
1457066156, 68:C6:3A:89:FC:52, 34.92, 25.66, 1530550361, 16:52:41
1423511724, 2C:3A:E8:42:B7:70, 33.13, 29.22, 1530550369, 16:52:49
1473843372, 68:C6:3A:89:FA:41, 27.96, 35.37, 1530550386, 16:53:06
1440288940, 2C:3A:E8:42:8E:53, 40.13, 5.35, 1530550417, 16:53:37
1457066156, 68:C6:3A:89:FC:52, 34.97, 25.80, 1530550426, 16:53:46
1423511724, 2C:3A:E8:42:B7:70, 33.11, 29.13, 1530550434, 16:53:54
1473843372, 68:C6:3A:89:FA:41, 29.39, 32.24, 1530550451, 16:54:11
1440288940, 2C:3A:E8:42:8E:53, 40.04, 5.06, 1530550482, 16:54:42
1457066156, 68:C6:3A:89:FC:52, 35.19, 24.81, 1530550492, 16:54:52
1423511724, 2C:3A:E8:42:B7:70, 33.82, 21.75, 1530550499, 16:54:59
1473843372, 68:C6:3A:89:FA:41, 32.41, 18.82, 1530550516, 16:55:16
1440288940, 2C:3A:E8:42:8E:53, 39.83, 5.07, 1530550547, 16:55:47
1457066156, 68:C6:3A:89:FC:52, 35.56, 20.00, 1530550557, 16:55:57
1423511724, 2C:3A:E8:42:B7:70, 34.73, 18.85, 1530550564, 16:56:04
1473843372, 68:C6:3A:89:FA:41, 31.46, 30.33, 1530550581, 16:56:21
1440288940, 2C:3A:E8:42:8E:53, 39.94, 5.05, 1530550612, 16:56:52
1457066156, 68:C6:3A:89:FC:52, 35.79, 21.27, 1530550622, 16:57:02
1423511724, 2C:3A:E8:42:B7:70, 34.89, 18.42, 1530550629, 16:57:09
1473843372, 68:C6:3A:89:FA:41, 28.93, 32.48, 1530550646, 16:57:26
1440288940, 2C:3A:E8:42:8E:53, 39.95, 6.03, 1530550677, 16:57:57
1457066156, 68:C6:3A:89:FC:52, 35.54, 21.63, 1530550687, 16:58:07
1423511724, 2C:3A:E8:42:B7:70, 34.62, 21.44, 1530550694, 16:58:14
1473843372, 68:C6:3A:89:FA:41, 28.27, 36.32, 1530550711, 16:58:31
1440288940, 2C:3A:E8:42:8E:53, 39.94, 5.85, 1530550742, 16:59:02
1457066156, 68:C6:3A:89:FC:52, 35.45, 22.27, 1530550752, 16:59:12
1423511724, 2C:3A:E8:42:B7:70, 34.24, 22.38, 1530550759, 16:59:19
1473843372, 68:C6:3A:89:FA:41, 28.02, 37.06, 1530550776, 16:59:36
1440288940, 2C:3A:E8:42:8E:53, 39.98, 6.01, 1530550807, 17:00:07
1457066156, 68:C6:3A:89:FC:52, 35.34, 22.71, 1530550817, 17:00:17
1423511724, 2C:3A:E8:42:B7:70, 33.99, 23.09, 1530550824, 17:00:24
